BHK,Type,Location,Price,Sqft,Status,Deposit,Availability,Bathrooms,Facing
4,Apartment,Gachibowli,"54,000",2499,Semi-Furnished,No Deposit,NA,4,East facing
4,Apartment,Gachibowli,1.5,3450,Furnished,No Deposit,NA,4,East facing
2,Apartment,Gachibowli,"61,000",892,Furnished,No Deposit,NA,2,NorthEast facing
3,Apartment,Gachibowli,"55,000",1500,Semi-Furnished,No Deposit,NA,2,NorthWest facing
3,Apartment,Gachibowli,"65,000",1740,Furnished,No Deposit,NA,3,West facing
4,Apartment,Gachibowli,1.1,5000,Semi-Furnished,No Deposit,NA,4,East facing
1,Independent House,Gachibowli,"33,000",1500,Semi-Furnished,No Deposit,NA,2,NA
1,Independent House,Gachibowli,"33,000",1500,Semi-Furnished,No Deposit,NA,2,NA
1,Apartment,Gachibowli,"15,000",600,Semi-Furnished,No Deposit,NA,1,NA
2,Apartment,Gachibowli,"56,000",2600,Furnished,No Deposit,NA,2,NA
4,Apartment,Gachibowli,1.5,3600,Furnished,No Deposit,NA,4,East facing
2,Apartment,Gachibowli,"70,000",1492,Furnished,No Deposit,NA,2,NorthEast facing
2,Apartment,Gachibowli,"24,000",1050,Semi-Furnished,No Deposit,NA,2,East facing
2,Apartment,Gachibowli,"33,000",1800,Furnished,No Deposit,NA,2,NA
1,Independent House,Gachibowli,"33,000",1500,Semi-Furnished,No Deposit,NA,2,NA
1,Independent House,Gachibowli,"33,000",1500,Semi-Furnished,No Deposit,NA,2,NA
4,Apartment,Gachibowli,1,2713,Semi-Furnished,No Deposit,NA,4,NA
2,Apartment,Gachibowli,"35,000",1230,Furnished,No Deposit,NA,2,NA
3,Independent Floor,Gachibowli,"65,000",2000,Furnished,No Deposit,NA,3,NA
2,Apartment,Gachibowli,"33,000",1200,Furnished,No Deposit,NA,2,NA
3,Apartment,Gachibowli,"70,000",2500,Furnished,No Deposit,NA,3,East facing
3,Apartment,Gachibowli,"48,000",1700,Semi-Furnished,No Deposit,NA,3,West facing
3,Apartment,Gachibowli,"75,000",1900,Furnished,No Deposit,NA,3,NorthEast facing
4,Villa,Gachibowli,1.6,5000,Semi-Furnished,No Deposit,NA,4,NA
4,Apartment,Gachibowli,"53,999",2500,Semi-Furnished,No Deposit,NA,4,East facing
3,Apartment,Gachibowli,"60,000",2400,Semi-Furnished,No Deposit,NA,3,West facing
4,Villa,Gachibowli,1.7,4000,Semi-Furnished,No Deposit,NA,4,East facing
1,Independent House,Gachibowli,"33,000",1500,Semi-Furnished,No Deposit,NA,2,NA
1,Independent House,Gachibowli,"33,000",1500,Semi-Furnished,No Deposit,NA,2,NA
2,Apartment,Gachibowli,"34,000",1200,Semi-Furnished,No Deposit,NA,2,NA
2,Apartment,Gachibowli,"37,000",1800,Furnished,No Deposit,NA,2,NA
3,Apartment,Gachibowli,"48,000",1800,Furnished,No Deposit,NA,3,NA
5,Villa,Gachibowli,1.5,4800,Semi-Furnished,No Deposit,NA,6,West facing
4,Apartment,Gachibowli,1.09,2108,Semi-Furnished,No Deposit,NA,4,NorthEast facing
3,Apartment,Gachibowli,"38,000",1800,Semi-Furnished,No Deposit,NA,3,NA
1,Apartment,Gachibowli,"22,000",600,Furnished,"22,000",availability immediately,1,NA
2,Apartment,Gachibowli,"37,000",1250,Furnished,No Deposit,NA,2,South facing
2,Apartment,Gachibowli,"32,000",1342,Semi-Furnished,"64,000",availability immediately,2,NA
4,Villa,Gachibowli,1.6,4800,Semi-Furnished,No Deposit,NA,4,NA
3,Apartment,Gachibowli,"48,000",1800,Furnished,No Deposit,NA,3,NA
3,Independent Floor,Gachibowli,"45,000",1680,Furnished,"45,000",availability immediately,3,NA
3,Apartment,Gachibowli,1.27,1600,Furnished,No Deposit,NA,3,NA
3,Independent House,Gachibowli,"45,000",2000,Semi-Furnished,No Deposit,NA,3,NA
,,Gachibowli,"27,800",600,Unfurnished,No Deposit,NA,1,NA
3,Apartment,Gachibowli,"40,000",1920,Furnished,No Deposit,NA,4,NA
3,Independent Floor,Gachibowli,"35,000",1800,Semi-Furnished,No Deposit,NA,3,NA
4,Apartment,Gachibowli,"55,000",2550,Semi-Furnished,No Deposit,NA,4,NA
4,Apartment,Gachibowli,"50,000",2000,Semi-Furnished,No Deposit,NA,3,NA
3,Apartment,Gachibowli,"65,000",1989,Furnished,No Deposit,NA,3,NA
3,Independent Floor,Gachibowli,"45,000",2450,Semi-Furnished,No Deposit,NA,3,East facing
3,Apartment,Gachibowli,"55,000",1717,Furnished,No Deposit,NA,2,NA
3,Apartment,Gachibowli,"48,000",2160,Semi-Furnished,No Deposit,NA,3,NA
3,Apartment,Gachibowli,"30,000",1300,Semi-Furnished,No Deposit,NA,3,NA
5,Independent House,Gachibowli,"50,000",2750,Semi-Furnished,No Deposit,NA,NA,NA
3,Apartment,Gachibowli,"65,000",1953,Furnished,"65,000",availability immediately,3,NA
3,Apartment,Gachibowli,"65,000",1955,Furnished,"65,000",availability immediately,3,NA
3,Independent House,Gachibowli,"30,000",2000,Semi-Furnished,No Deposit,NA,2,NA
3,Apartment,Gachibowli,"49,000",1915,Furnished,No Deposit,NA,3,NA
2,Apartment,Gachibowli,"25,300",1283,Semi-Furnished,No Deposit,NA,2,NA
2,Apartment,Gachibowli,"25,000",1100,Unfurnished,No Deposit,NA,2,NA
,,Gachibowli,"13,500",800,Semi-Furnished,No Deposit,NA,1,NA
,,Gachibowli,"27,800",600,Unfurnished,No Deposit,NA,1,NA
2,Apartment,Gachibowli,"22,000",1400,Semi-Furnished,No Deposit,NA,2,NorthEast facing
3,Apartment,Gachibowli,"20,000",1900,Unfurnished,No Deposit,NA,3,NA
1,Apartment,Gachibowli,"20,000",600,Furnished,No Deposit,NA,1,North facing
2,Apartment,Gachibowli,"20,000",1500,Unfurnished,"40,000",availability immediately,2,NA
2,Apartment,Gachibowli,"18,000",1381,Semi-Furnished,No Deposit,NA,2,East facing
2,Apartment,Gachibowli,"16,000",1260,Semi-Furnished,No Deposit,NA,2,NA
