BHK,Type,Location,Price,Sqft,Status,Deposit,Availability,Bathrooms,Facing
3,Independent House,Alwal,"20,700",1500,Furnished,No Deposit,NA,2,NA
2,Independent House,Alwal,"13,500",1300,Unfurnished,No Deposit,NA,2,NA
1,Independent House,Alwal,"7,020",700,Unfurnished,No Deposit,NA,1,NA
1,Independent House,Alwal,"7,020",700,Unfurnished,No Deposit,NA,1,NA
4,Independent House,Gajilaramavaram,"24,000",1800,Semi-Furnished,No Deposit,NA,4,NA
4,Independent House,Jubilee Hills,3.5,5800,Furnished,No Deposit,NA,4,West facing
2,Independent House,Kukatpally,"18,000",1350,Furnished,No Deposit,NA,2,North facing
2,Independent House,Shaikpet,"12,000",1200,Unfurnished,No Deposit,NA,1,NorthEast facing
2,Independent House,Sri Nagar Colony,"25,000",1550,Semi-Furnished,No Deposit,NA,2,NA
1,Independent House,Vanasthalipuram,"6,500",1200,Unfurnished,No Deposit,NA,1,NA
2,Independent House,Hastinapuram,"9,500",1500,Semi-Furnished,No Deposit,NA,2,NA
2,Independent House,Himayat Nagar,"25,000",1500,Semi-Furnished,No Deposit,NA,2,NA
1,Independent House,LB Nagar,"10,000",150,Unfurnished,No Deposit,NA,1,NA
2,Independent House,Kistareddypet,"9,000",1100,Unfurnished,No Deposit,NA,2,West facing
2,Independent House,Madhapur,"18,000",1000,Unfurnished,No Deposit,NA,2,NA
2,Independent House,Chandanagar,"10,000",1200,Semi-Furnished,No Deposit,NA,2,East facing
1,Independent House,Zamistanpur,"5,800",280,Unfurnished,No Deposit,NA,1,NA
2,Independent House,Pragathi Nagar Kukatpally,"13,000",1100,Unfurnished,No Deposit,NA,2,East facing
1,Independent House,Ramachandra Puram,"10,000",550,Semi-Furnished,No Deposit,NA,1,NA
2,Independent House,Bandlaguda Jagir,"14,000",1300,Unfurnished,No Deposit,NA,3,NA
1,Independent House,Sanjeeva Reddy Nagar,"5,000",180,Semi-Furnished,No Deposit,NA,1,NA
1,Independent House,Safilguda,"6,000",540,Unfurnished,No Deposit,NA,NA,NA
1,Independent House,Begumpet,"9,000",550,Semi-Furnished,"9,000",availability immediately,1,NA
3,Independent House,Somajiguda,"14,000",800,Semi-Furnished,No Deposit,NA,2,NA
1,Independent House,Alwal,"6,000",800,Unfurnished,No Deposit,NA,1,NA
1,Independent House,Gajularamaram,"7,000",700,Unfurnished,No Deposit,NA,1,North facing
2,Independent House,Aminpur,"10,000",1800,Unfurnished,No Deposit,NA,2,East facing
2,Independent House,Pocharam,"12,000",800,Unfurnished,No Deposit,NA,2,NA
2,Independent House,Banjara Hills,"13,000",960,Semi-Furnished,No Deposit,NA,1,North facing
1,Independent House,Chinthal Basthi,"4,500",450,Unfurnished,No Deposit,NA,1,NA
9,Independent House,raidurgam,3.75,8820,Semi-Furnished,No Deposit,NA,9,NA
2,Independent House,Bandlaguda Jagir,"12,000",1100,Unfurnished,No Deposit,NA,2,NA
4,Independent House,Jubilee Hills,6,7500,Semi-Furnished,No Deposit,NA,5,East facing
,,Ameerpet,"5,500",410,Unfurnished,No Deposit,NA,1,NA
,,Boduppal,"6,500",550,Unfurnished,No Deposit,NA,1,NA
,,Sanjeeva Reddy Nagar,"5,500",450,Unfurnished,No Deposit,NA,1,NA
3,Independent House,LB Nagar,"52,000",3000,Semi-Furnished,No Deposit,NA,3,West facing
1,Independent House,Boduppal,"7,500",1000,Semi-Furnished,No Deposit,NA,1,NorthEast facing
1,Independent House,West Marredpally,"7,000",400,Semi-Furnished,No Deposit,NA,1,NA
,,Hafeezpet,"13,500",800,Semi-Furnished,No Deposit,NA,1,NA
,,Hastinapuram,"12,000",1200,Semi-Furnished,No Deposit,NA,2,NA
2,Independent House,Hafeezpet,"33,400",2500,Semi-Furnished,No Deposit,NA,3,NA
2,Independent House,Bachupally,"26,000",1200,Semi-Furnished,No Deposit,NA,2,NA
,,Hastinapuram,"12,000",1200,Semi-Furnished,No Deposit,NA,2,NA
1,Independent House,Bolarum,"16,500",1050,Semi-Furnished,No Deposit,NA,2,NA
,,Kundanpally,"9,000",900,Unfurnished,No Deposit,NA,1,NA
1,Independent House,West Marredpally,"7,000",400,Semi-Furnished,No Deposit,NA,1,NA
1,Independent House,Bandlaguda Jagir,"15,000",1100,Unfurnished,No Deposit,NA,2,NA
3,Independent House,Shaikpet,"37,000",3200,Semi-Furnished,No Deposit,NA,3,NA
1,Independent House,Bolarum,"11,000",1000,Semi-Furnished,No Deposit,NA,2,NA
2,Independent House,Puppalaguda,"28,200",1700,Semi-Furnished,No Deposit,NA,2,NA
2,Independent House,Puppalaguda,"28,200",1700,Semi-Furnished,No Deposit,NA,2,NA
3,Independent House,Sainikpuri,"18,000",1250,Semi-Furnished,No Deposit,NA,2,NA
1,Independent House,Bolarum,"11,000",1000,Semi-Furnished,No Deposit,NA,2,NA
,,Kapra,"20,000",550,Semi-Furnished,No Deposit,NA,1,NA
1,Independent House,Whisper Valley,"22,000",1200,Semi-Furnished,No Deposit,NA,2,NA
