BHK,Type,Location,Price,Sqft,Status,Deposit,Availability,Bathrooms,Facing
4,Villa,Kokapet,1.5,4500,Semi-Furnished,No Deposit,NA,4,East facing
3,Apartment,Kokapet,"59,000",1790,Semi-Furnished,No Deposit,NA,3,NorthEast facing
4,Villa,Kokapet,2.49,4500,Furnished,No Deposit,NA,4,NA
3,Apartment,Kokapet,"64,000",2100,Furnished,No Deposit,NA,3,NorthWest facing
3,Apartment,Kokapet,"49,000",2615,Semi-Furnished,No Deposit,NA,3,NorthWest facing
4,Villa,Kokapet,2.9,7500,Semi-Furnished,No Deposit,NA,5,NA
3,Apartment,Kokapet,"56,000",2000,Semi-Furnished,No Deposit,NA,3,East facing
3,Apartment,Kokapet,"49,000",1770,Semi-Furnished,No Deposit,NA,3,NorthEast facing
3,Apartment,Kokapet,2,3455,Furnished,No Deposit,NA,3,East facing
4,Villa,Kokapet,1.4,4500,Semi-Furnished,No Deposit,NA,6,NA
3,Apartment,Kokapet,"60,000",2235,Semi-Furnished,1.2 L,availability immediately,3,NA
2,Apartment,Kokapet,"25,000",1215,Semi-Furnished,No Deposit,NA,3,East facing
4,Apartment,Kokapet,"58,000",2630,Semi-Furnished,No Deposit,NA,4,NA
4,Villa,Kokapet,1.1,4020,Semi-Furnished,No Deposit,NA,5,East facing
3,Apartment,Kokapet,"55,000",2100,Semi-Furnished,No Deposit,NA,3,NorthEast facing
4,Villa,Kokapet,1.3,3300,Semi-Furnished,No Deposit,NA,4,East facing
3,Apartment,Kokapet,"60,000",2235,Semi-Furnished,1.2 L,availability immediately,3,NA
3,Apartment,Kokapet,"63,000",2000,Semi-Furnished,1.12 L,availability immediately,3,NA
4,Villa,Kokapet,2.1,5100,Semi-Furnished,No Deposit,NA,6,NA
3,Apartment,Kokapet,"40,000",1535,Semi-Furnished,"80,000",availability immediately,3,NA
3,Apartment,Kokapet,"60,000",2400,Furnished,1.2 L,availability immediately,3,NA
3,Apartment,Kokapet,"35,000",1800,Semi-Furnished,No Deposit,NA,3,NA
2,Apartment,Kokapet,"28,000",1270,Semi-Furnished,No Deposit,NA,2,NA
2,Apartment,Kokapet,"22,000",1270,Semi-Furnished,No Deposit,NA,2,NA
3,Apartment,Kokapet,"60,000",2170,Furnished,1.8 L,availability immediately,3,NA
3,Apartment,Kokapet,"55,000",2100,Semi-Furnished,No Deposit,NA,3,NorthEast facing
4,Apartment,Kokapet,"47,000",2800,Semi-Furnished,No Deposit,NA,3,NorthEast facing
3,Apartment,Kokapet,"55,000",2100,Semi-Furnished,No Deposit,NA,3,NorthEast facing
3,Apartment,Kokapet,"55,000",2100,Semi-Furnished,No Deposit,NA,3,NorthEast facing
3,Apartment,Kokapet,"59,000",1800,Semi-Furnished,No Deposit,NA,3,West facing
3,Apartment,Kokapet,"35,000",1515,Semi-Furnished,No Deposit,NA,3,West facing
4,Villa,Kokapet,1.2,4200,Furnished,No Deposit,NA,4,East facing
2,Apartment,Kokapet,"22,000",1270,Semi-Furnished,No Deposit,NA,2,NA
3,Apartment,Kokapet,"55,000",2100,Semi-Furnished,No Deposit,NA,3,NorthEast facing
3,Apartment,Kokapet,"55,000",2100,Semi-Furnished,No Deposit,NA,3,NorthEast facing
3,Apartment,Kokapet,"55,000",2160,Furnished,No Deposit,NA,3,East facing
4,Villa,Kokapet,2.5,5000,Semi-Furnished,No Deposit,NA,6,NA
4,Villa,Kokapet,1.7,4500,Semi-Furnished,No Deposit,NA,6,NA
3,Apartment,Kokapet,"65,000",2235,Semi-Furnished,1.3 L,availability immediately,3,NA
3,Apartment,Kokapet,"65,000",2160,Furnished,No Deposit,NA,3,East facing
3,Apartment,Kokapet,"54,000",1466,Semi-Furnished,No Deposit,NA,3,NorthEast facing
4,Villa,Kokapet,1.7,4500,Semi-Furnished,No Deposit,NA,6,NA
3,Apartment,Kokapet,"55,000",2100,Semi-Furnished,No Deposit,NA,3,NorthEast facing
4,Villa,Kokapet,1.5,4600,Semi-Furnished,No Deposit,NA,4,NA
2,Apartment,Kokapet,"22,000",1270,Semi-Furnished,No Deposit,NA,2,NA
2,Apartment,Kokapet,"22,000",1270,Semi-Furnished,No Deposit,NA,2,NA
2,Apartment,Kokapet,"22,000",1270,Semi-Furnished,No Deposit,NA,2,NA
2,Apartment,Kokapet,"22,000",1270,Semi-Furnished,No Deposit,NA,2,NA
2,Apartment,Kokapet,"22,000",1270,Semi-Furnished,No Deposit,NA,2,NA
2,Apartment,Kokapet,"22,000",1270,Semi-Furnished,No Deposit,NA,2,NA
2,Apartment,Kokapet,"22,000",1270,Semi-Furnished,No Deposit,NA,2,East facing
2,Apartment,Kokapet,"22,000",1270,Semi-Furnished,No Deposit,NA,2,East facing
