BHK,Type,Location,Price,Sqft,Status,Deposit,Availability,Bathrooms
1,Apartment,Gachibowli,"22,000",600,Furnished,"22,000",availability immediately,1
3,Apartment,Himayat Nagar,"32,000",1950,Furnished,1 L,availability immediately,3
2,Apartment,Nanakramguda,"38,000",1222,Semi-Furnished,"76,000",availability immediately,2
3,Apartment,Manikonda,"55,000",1905,Semi-Furnished,1.1 L,availability immediately,3
2,Apartment,Gachibowli,"32,000",1342,Semi-Furnished,"64,000",availability immediately,2
3,Apartment,Tellapur,"35,000",1900,Unfurnished,"70,000",availability immediately,3
4,Apartment,Bandlaguda Jagir,"30,000",2000,Furnished,"90,000",availability immediately,4
2,Apartment,Bowenpally,"24,985",1315,Furnished,"50,000",availability immediately,2
3,Apartment,Shamshabad,"45,000",2050,Semi-Furnished,1.5 L,availability immediately,3
3,Apartment,Uppal Kalan,"27,000",1576,Semi-Furnished,"75,000",availability immediately,2
3,Apartment,Himayat Nagar,"31,000",1800,Semi-Furnished,"90,000",availability immediately,3
2,Independent House,Sai Gardens,"24,000",2200,Semi-Furnished,"74,000",availability immediately,2
4,Villa,Kompally,"42,000",2750,Semi-Furnished,"84,000",availability immediately,5
2,Independent House,Kukatpally,"25,000",1000,Furnished,"80,000",availability immediately,2
1,Independent House,Puppalaguda,"19,000",1200,Furnished,"45,000",availability immediately,1
2,Apartment,Narsingi,"30,000",1400,Furnished,"60,000",availability immediately,2
3,Apartment,Kushaiguda,"30,000",1580,Semi-Furnished,"60,000",availability immediately,3
3,Apartment,Osman Nagar,"27,000",1545,Furnished,"81,000",availability immediately,3
2,Villa,Medchal,"20,000",1300,Unfurnished,"40,000",availability immediately,2
4,Villa,Kapra,"20,000",3000,Unfurnished,"50,000",availability immediately,4
1,Apartment,Rajendra Nagar,"18,000",400,Furnished,No Deposit,availability immediately,1
4,Villa,Kapra,"20,000",3000,Unfurnished,"50,000",availability immediately,4
4,Villa,Gandipet,"45,000",2850,Semi-Furnished,"90,000",availability immediately,5
2,Independent House,Kukatpally,"25,000",1000,Furnished,"80,000",availability immediately,2
3,Apartment,Kompally,"22,000",1836,Semi-Furnished,1 L,availability immediately,3
2,Apartment,LB Nagar,"22,000",1168,Semi-Furnished,"22,000",availability immediately,2
3,Apartment,Rajendra Nagar,"45,000",1047,Furnished,1 L,availability immediately,3
3,Apartment,Shankarpalli,"20,000",2300,Semi-Furnished,1 L,availability immediately,4
3,Independent House,Vanasthalipuram,"35,000",2000,Semi-Furnished,1.05 L,availability immediately,3
1,Independent House,Sikh Village,"18,000",800,Furnished,"36,000",availability immediately,1
2,Villa,Medchal,"20,000",1300,Unfurnished,"40,000",availability immediately,2
2,Independent House,Chandanagar,"25,000",2200,Semi-Furnished,"50,000",availability immediately,3
4,Villa,Kompally,"50,000",3000,Semi-Furnished,1.5 L,availability immediately,3
2,Apartment,Kompally,"16,000",1175,Semi-Furnished,"48,000",availability immediately,2
3,Apartment,Bachupally,"16,000",1300,Furnished,"32,000",availability immediately,2
3,Apartment,Nallagandla Gachibowli,"39,999",1560,Semi-Furnished,"39,999",availability immediately,2
2,Penthouse,Chandanagar,"15,000",1100,Semi-Furnished,"50,000",availability immediately,2
3,Independent House,Stella Nagaram,"15,000",1800,Semi-Furnished,"30,000",availability immediately,2
2,Villa,Hydershakote,"15,000",1250,Semi-Furnished,"15,000",availability immediately,2
2,Independent House,Nagole Bandlaguda Road,"14,250",1100,Semi-Furnished,"42,000",availability immediately,2
4,Apartment,chandrayangutta,"16,000",1557,Unfurnished,"50,000",availability immediately,4
4,Villa,Patancheru,"25,000",2500,Unfurnished,"50,000",availability immediately,4
2,Villa,Mallapur,"13,500",1350,Semi-Furnished,"27,000",availability immediately,2
,,Trimalgherry,"14,000",1000,Semi-Furnished,"20,000",availability immediately,1
1,Apartment,Kondapur,"25,000",600,Furnished,"25,000",availability immediately,1
3,Apartment,Kompally,"15,000",1420,Semi-Furnished,"28,000",availability immediately,3
1,Penthouse,Vijay Nagar Colony Road,"13,000",1000,Semi-Furnished,"26,000",availability immediately,1
1,Apartment,Anjaiah Nagar,"17,000",502,Furnished,"17,000",availability immediately,1
2,Apartment,Malakpet,"12,000",900,Unfurnished,"24,000",availability immediately,2
2,Apartment,Attapur,"12,000",1200,Semi-Furnished,"24,000",availability immediately,2
2,Apartment,Saroor Nagar,"11,000",1205,Semi-Furnished,"22,000",availability immediately,2
2,Independent House,Muthangi,"10,000",1530,Unfurnished,"20,000",availability immediately,2
3,Apartment,Sainikpuri,"20,000",1200,Semi-Furnished,"40,000",availability immediately,3
2,Villa,Shamshabad,"26,000",1494,Furnished,"52,000",availability immediately,3
2,Apartment,Kondapur,"19,500",1250,Semi-Furnished,No Deposit,availability immediately,2
2,Villa,Osman Nagar,"12,000",1650,Unfurnished,"24,000",availability immediately,2
4,Villa,Miyapur,"55,000",3765,Semi-Furnished,1.1 L,availability immediately,4
2,Apartment,Kowkur,"9,000",900,Unfurnished,"3,000",availability immediately,2
3,Apartment,Nallagandla Gachibowli,"60,000",1875,Semi-Furnished,1.2 L,availability immediately,3
3,Apartment,Kondapur,"35,000",2250,Semi-Furnished,"70,000",availability immediately,3
2,Independent House,Balapur,"9,000",400,Unfurnished,"30,000",availability immediately,2
2,Independent House,Peerzadiguda,"9,000",1000,Semi-Furnished,"18,000",availability immediately,2
2,Apartment,Boduppal,"13,000",1180,Unfurnished,"40,000",availability immediately,2
3,Apartment,Gundlapochampally,"24,000",1543,Semi-Furnished,"48,000",availability immediately,2
3,Apartment,Attapur,"23,000",1900,Semi-Furnished,"46,000",availability immediately,3
2,Apartment,Yapral,"15,000",1199,Semi-Furnished,"30,000",availability immediately,2
2,Independent House,Subhash Nagar,"18,000",1300,Semi-Furnished,"45,000",availability immediately,2
1,Independent House,Mallampet,"7,000",700,Unfurnished,"14,000",availability immediately,1
1,Independent House,Golnaka,"7,000",900,Unfurnished,"14,000",availability immediately,1
3,Apartment,Wadi E Mahmood,"15,000",1050,Unfurnished,1 L,availability immediately,2
3,Apartment,Saleem Nagar Colony Malakpet Extension,"13,000",2100,Unfurnished,"25,000",availability immediately,2
3,Apartment,Banjara Hills,"35,000",1900,Unfurnished,"70,000",availability immediately,3
3,Independent House,East Prasanth Nagar,"24,000",1620,Semi-Furnished,"48,000",availability immediately,3
2,Apartment,Banjara Hills,"16,000",1000,Semi-Furnished,"32,000",availability immediately,2
3,Apartment,Domalguda,"30,000",1800,Semi-Furnished,"90,000",availability immediately,3
2,Apartment,Begumpet,"14,000",1200,Furnished,"14,000",availability immediately,2
2,Independent House,Amba Gardens,"24,000",2200,Semi-Furnished,No Deposit,availability immediately,2
3,Apartment,Sun City,"18,000",1560,Semi-Furnished,"54,000",availability immediately,4
3,Villa,Kompally,"30,000",1584,Semi-Furnished,"60,000",availability immediately,3
3,Apartment,Trimalgherry,"32,000",2300,Semi-Furnished,1 L,availability immediately,3
3,Apartment,Tilak Nagar,"25,000",1150,Unfurnished,"25,000",availability immediately,3
3,Apartment,Nallagandla Gachibowli,"45,000",1685,Semi-Furnished,1.35 L,availability immediately,3
2,Independent House,Suraksha Colony,"14,500",1500,Unfurnished,"29,000",availability immediately,2
2,Apartment,Hyder Nagar,"19,040",1190,Unfurnished,"40,000",availability immediately,2
3,Villa,Mokila,"18,000",2250,Semi-Furnished,"54,000",availability immediately,3
2,Apartment,Bowenpally,"25,000",1315,Furnished,"50,000",availability immediately,2
1,Apartment,Rajendra Nagar,"18,000",400,Semi-Furnished,"36,000",availability immediately,1
2,Apartment,Nallagandla Gachibowli,"24,000",1140,Furnished,"80,000",availability immediately,2
2,Independent House,Narepally,"12,000",1500,Semi-Furnished,"24,000",availability immediately,2
4,Villa,Narsingi,1,4600,Semi-Furnished,1 L,availability immediately,4
1,Apartment,Kondapur,"24,000",600,Furnished,"24,000",availability immediately,1
1,Independent House,Vidyanagar Adikmet,"8,000",680,Unfurnished,"16,000",availability immediately,1
5,Independent House,Jubilee Hills,2.4,4500,Semi-Furnished,9.6 L,availability immediately,9
4,Apartment,Kismatpur,"94,000",5200,Semi-Furnished,1.88 L,availability immediately,5
2,Apartment,BK Guda Internal Road,"16,000",1100,Semi-Furnished,"16,000",availability immediately,2
3,Apartment,Rajendra Nagar,"45,000",1400,Furnished,"80,000",availability immediately,3
2,Apartment,Yapral,"12,000",1053,Semi-Furnished,"24,000",availability immediately,2
3,Apartment,Gachibowli,"50,000",1492,Semi-Furnished,1.2 L,availability immediately,2
1,Penthouse,Chikkadapally,"10,000",500,Unfurnished,"20,000",availability immediately,1
2,Apartment,Meerpet,"8,000",1000,Semi-Furnished,"16,000",availability immediately,2
1,Apartment,Kondapur,"24,000",600,Furnished,"24,000",availability immediately,1
1,Apartment,Kondapur,"25,000",600,Furnished,"25,000",availability immediately,1
1,Apartment,Kondapur,"18,000",600,Semi-Furnished,"18,000",availability immediately,1
1,Apartment,Kondapur,"24,000",600,Furnished,"24,000",availability immediately,1
1,Apartment,Kondapur,"24,000",600,Furnished,"24,000",availability immediately,1
4,Apartment,Nanakramguda,"85,000",3150,Semi-Furnished,2.25 L,availability immediately,3
3,Apartment,Madhapur,1.7,2680,Semi-Furnished,5 L,availability immediately,3
4,Apartment,Manikonda,"85,000",2600,Semi-Furnished,2.5 L,availability immediately,4
3,Apartment,Shaikpet,"56,000",2190,Semi-Furnished,1.12 L,availability immediately,3
3,Apartment,Hitech City,"65,000",2600,Semi-Furnished,1.3 L,availability immediately,3
3,Apartment,Gachibowli,"60,000",2160,Semi-Furnished,1.2 L,availability immediately,3
3,Apartment,Hitech City,"65,000",2600,Semi-Furnished,1.3 L,availability immediately,3
3,Apartment,Whitefield,"65,000",2600,Furnished,2 L,availability immediately,3
4,Apartment,Hitech City,"85,000",3600,Semi-Furnished,1.7 L,availability immediately,4
2,Apartment,Gachibowli,"50,000",1410,Semi-Furnished,1 L,availability immediately,2
2,Apartment,Gachibowli,"45,000",1275,Semi-Furnished,"90,000",availability immediately,2
3,Apartment,Kokapet,"60,000",2235,Semi-Furnished,1.2 L,availability immediately,3
4,Apartment,Gachibowli,"95,000",2708,Furnished,3 L,availability immediately,4
3,Apartment,Nanakramguda,"75,000",2360,Semi-Furnished,2.25 L,availability immediately,3
3,Apartment,Kondapur,"80,000",2020,Semi-Furnished,2.4 L,availability immediately,3
2,Apartment,Gachibowli,"45,000",1115,Furnished,"90,000",availability immediately,2
3,Apartment,Madhapur,1.75,2680,Semi-Furnished,3.5 L,availability immediately,3
3,Apartment,Nanakramguda,"75,000",2630,Semi-Furnished,1.5 L,availability immediately,3
2,Apartment,Manikonda,"40,000",1314,Semi-Furnished,"80,000",availability immediately,2
3,Apartment,Kokapet,"65,000",2235,Semi-Furnished,1.3 L,availability immediately,3
3,Apartment,Gachibowli,"60,000",1742,Semi-Furnished,1.2 L,availability immediately,3
2,Apartment,Gachibowli,"50,000",1410,Semi-Furnished,1 L,availability immediately,2
3,Apartment,Gachibowli,"65,000",2160,Semi-Furnished,1.3 L,availability immediately,3
2,Apartment,Manikonda,"40,000",1314,Semi-Furnished,"80,000",availability immediately,2
3,Apartment,Shaikpet,"60,000",2190,Semi-Furnished,1.2 L,availability immediately,3
3,Apartment,Gachibowli,"90,000",2780,Semi-Furnished,2.7 L,availability immediately,3
3,Apartment,Gachibowli,"70,000",1742,Furnished,2 L,availability immediately,3
3,Apartment,Manikonda,"70,000",1834,Furnished,2 L,availability immediately,3
2,Apartment,Kukatpally,"45,000",1450,Semi-Furnished,"90,000",availability immediately,2
