BHK,Type,Location,Price,Sqft,Status,Deposit,Availability,Bathrooms,Facing
5,Villa,Nallagandla Gachibowli,"80,000",4000,Semi-Furnished,No Deposit,NA,5,West facing
5,Villa,Moinabad,2,7000,Furnished,No Deposit,NA,5,East facing
4,Villa,Kompally,"68,000",4500,Semi-Furnished,No Deposit,NA,4,NA
8,Villa,Kismatpur,"50,000",3400,Semi-Furnished,No Deposit,NA,5,NA
4,Villa,Nizampet,"30,000",2400,Unfurnished,No Deposit,NA,4,NA
4,Villa,Kokapet,1.5,4500,Semi-Furnished,No Deposit,NA,4,East facing
3,Villa,Nagole,"80,000",3200,Semi-Furnished,No Deposit,NA,3,NorthEast facing
4,Villa,Serilingampally,3.5,6200,Semi-Furnished,No Deposit,NA,4,West facing
4,Villa,Bachupally,"27,000",2000,Semi-Furnished,No Deposit,NA,4,East facing
5,Villa,Narsingi,"75,000",4500,Semi-Furnished,No Deposit,NA,4,West facing
3,Villa,Kismatpur,"80,000",2800,Furnished,No Deposit,NA,3,West facing
4,Villa,Nanakramguda,2.5,5000,Semi-Furnished,No Deposit,NA,6,NA
5,Villa,Kompally,"90,000",5000,Furnished,No Deposit,NA,5,East facing
4,Villa,Jubilee Hills,1.3,4000,Furnished,No Deposit,NA,4,NorthEast facing
4,Villa,Mokila,"45,000",2500,Unfurnished,No Deposit,NA,4,NA
3,Villa,Manikonda,"80,000",3000,Semi-Furnished,No Deposit,NA,3,East facing
3,Villa,Jubilee Hills,1.3,4000,Furnished,No Deposit,NA,3,South facing
8,Villa,Habsiguda,"50,000",3000,Furnished,No Deposit,NA,9,NA
4,Villa,Tellapur,1.09,3223,Semi-Furnished,No Deposit,NA,4,NorthEast facing
4,Villa,Tellapur,"50,000",3000,Semi-Furnished,No Deposit,NA,3,NA
4,Villa,Mallampet,"25,000",2700,Semi-Furnished,No Deposit,NA,3,West facing
5,Villa,Kondapur,1.5,6000,Semi-Furnished,No Deposit,NA,5,East facing
4,Villa,Hafeezpet,1.8,3150,Semi-Furnished,No Deposit,NA,6,NA
4,Villa,Madhapur,2.1,5500,Semi-Furnished,No Deposit,NA,5,NA
2,Villa,Mangalpally,"11,200",1600,Unfurnished,No Deposit,NA,2,NA
4,Villa,Serilingampally,3.5,6200,Semi-Furnished,No Deposit,NA,4,West facing
